Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Italien;Geothermal;8195995.099;8335753.012;8856890.133;9378027.254;9899164.375;10420301.5;10884565.1;11348828.71;11813092.32;12277355.93;12741619.54;13074805.57;13407991.59;13741177.62;14074363.65;14407549.68;14740735.71;15073921.74;15407107.76;15740293.79;16073479.82
Italien;Hydro;51673427.22;57875368.31;64568319.95;68345837.75;72143817.02;75941796.29;79325288.83;82708781.38;86092273.92;89475766.46;92859259;95287475.25;97715691.51;100143907.8;102572124;105000340.3;107428556.5;109856772.8;112284989;114713205.3;117141421.6
Italien;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Italien;Solar;12912879.89;14462707.82;16135236.33;17938860.93;19882509.9;21975676.61;24102514.41;26387096.79;28839881.13;31471976.15;34295180.98;36951579.27;39787879.43;39527113.66;40485538.21;41443962.77;42402387.32;43360811.87;44319236.42;45277660.97;46236085.53
Italien;Wind;24094458.19;26986319.99;28519866.54;30197968.09;31876069.65;33554171.21;35049135.69;36544100.17;38039064.65;39534029.13;41028993.61;42101878.21;43174762.82;44247647.42;45320532.02;46393416.63;47466301.23;48539185.83;49612070.44;50684955.04;51757839.64
Litauen;Biomass;0;0;0;0;0;22739.19036;24939.92212;27303.87908;29841.88193;32565.42537;35486.71845;38235.40953;41170.25292;44302.99213;47646.07962;51212.71839;55016.90583;59073.48022;63398.16979;68007.64461;72919.57149
Litauen;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Litauen;Hydro;199390.1474;223321.3248;249147.1444;276997.2427;307009.483;339330.4543;372171.3469;407448.0026;445321.8955;485964.5577;529558.1814;570576.1147;614371.9458;661120.9198;711008.8613;764232.7947;821001.5992;881536.7022;946072.8116;1014858.69;1088157.974
Litauen;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Litauen;Solar;0;0;0;0;0;4219.239529;4627.583639;5066.21406;5537.138565;6042.489985;6584.533701;7094.551247;7639.109213;8220.386598;8840.693947;9502.481066;10208.34516;10961.03946;11763.48233;12618.76689;13530.1712
Litauen;Wind;6448.211086;7222.137405;8057.335828;8957.99875;9928.584625;10973.83409;12035.89764;13176.73296;14401.56207;15715.93225;17125.73555;18452.24188;19868.5845;21380.43077;22993.79022;24715.03453;26550.9188;28508.60391;30595.68023;32820.19267;35190.66716
Luxemburg;Biomass;15720.39703;17607.1884;19643.35791;21839.1264;24205.36335;26753.62617;29342.88084;32124.17691;35110.24539;38314.61027;41751.63603;44985.58818;48438.55646;52124.35759;56057.64245;60253.9449;64729.73349;69502.46607;74590.64758;80013.89108;85792.98231
Luxemburg;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Hydro;42511.26276;47613.54379;53119.77476;59057.59498;65456.39777;72347.43686;79349.32654;86870.53658;94945.49432;103610.7715;112905.2126;121650.5;130988.0531;140955.2352;151591.6655;162939.3506;175042.8251;187949.2987;201708.8126;216374.4046;232002.2838
Luxemburg;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Solar;876.2601778;981.4305584;1094.927327;1217.320195;1349.215032;1491.256053;1635.581972;1790.612344;1957.056797;2135.669165;2327.250128;2507.511701;2699.981305;2905.429091;3124.671701;3358.575001;3608.05695;3874.090658;4157.707594;4460.000996;4782.12947
