Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Irland;Wind;1595751.838;1813924.479;2049925.005;2304990.773;2580438.304;2877668.112;3220493.306;3590406.849;3989260.513;4419023.527;4881789.69;5362438.875;5878948.505;6433703.001;7029235.575;7668237.149;8353565.791;9088256.704;9875532.795;10718815.85;11621738.38
Italien;Biomass;0;0;0;0;0;2370022.14;2559307.908;2761597.198;2977717.147;3208545.098;3455011.551;3723749.609;4010723.943;4317086.338;4644058.162;4992934.452;5365088.226;5761975.042;6185137.818;6636211.934;7116930.618
Italien;Geothermal;8338077.788;8606695.497;9263303.86;9919912.223;10576520.59;11233128.95;11972728.7;12712328.46;13451928.21;14191527.97;14931127.72;15620200.37;16309273.01;16998345.65;17687418.3;18376490.94;19065563.58;19754636.22;20443708.87;21132781.51;21821854.15
Italien;Hydro;52569218.32;59756529.63;67531149.02;72295024.63;77080300.62;81865576.61;87255683.02;92645789.44;98035895.85;103426002.3;108816108.7;113837980.1;118859851.5;123881722.9;128903594.4;133925465.8;138947337.2;143969208.6;148991080;154012951.5;159034822.9
Italien;Other RES;0;0;0;0;0;84267.45386;110601.0332;139357.3018;170712.6947;204855.2337;241985.2448;326075.1174;417969.0141;518237.1126;627487.0986;746366.4903;875565.1034;1015817.662;1167906.563;1332664.81;1510979.116
Italien;Solar;13136732.72;14932798.76;16875629.57;18975411.46;21242982.47;23689872.05;26512117.23;29557362.26;32840851.49;36378796.25;40188433.34;44145289.12;48397359.4;48896503.57;50878651.93;52860800.28;54842948.64;56825097;58807245.36;60789393.72;62771542.08
Italien;Wind;24512150.66;27863474.17;29828549.95;31942879.32;34057208.68;36171538.05;38553106.07;40934674.09;43316242.11;45697810.13;48079378.15;50298244.98;52517111.82;54735978.66;56954845.5;59173712.34;61392579.18;63611446.01;65830312.85;68049179.69;70268046.53
Litauen;Biomass;0;0;0;0;0;24512.94308;27433.24318;30584.29093;33981.86034;37642.72597;41584.72352;45679.05464;50078.85708;54804.44211;59877.38851;65320.61845;71158.4779;77416.82176;84123.10381;91306.472;98997.86926
Litauen;Geothermal;0;0;0;0;0;991.235327;1130.008273;1280.180425;1442.544771;1617.945102;1807.279103;2049.454503;2311.329245;2594.267824;2899.721939;3229.235796;3584.451734;3967.116175;4379.085932;4822.334874;5298.960995
Litauen;Hydro;202846.7001;230580.0852;260579.6922;293002.8096;328016.7896;365799.6605;409378.4662;456400.6533;507101.613;561731.667;620556.9723;681655.5084;747312.5056;817831.0638;893533.1965;974760.9648;1061877.677;1155269.158;1255345.093;1362540.448;1477316.977
